0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
-0.40833563,7.6475286,8.72475,6.4845037,3.3852057,-0.23627922,-4.039117,-9.514751,-22.379389,-18.992,-11.174986,-6.983872,-6.337833,-7.810363,-6.6889434,-4.3068104,-2.6839762,-2.1212623,-2.6219945,-2.6908379,-2.719215,-5.299084,-8.494591,-9.482502,-10.144114,-10.867323,-12.819654,-15.281105,-12.172085,-8.3960285,-7.545094,-7.3742766,-7.8286,-7.7931623,-7.6316023,-11.196341,-21.69755,-47.304413,-34.289196,-20.528471,-15.165629,-13.784719,-12.979598,-12.963627,-16.282255,-27.076132,-25.141851,-16.234776,-16.08084,-23.875034,-6.064413,-0.63806856,1.6415638,-0.41100338,-6.221526,-13.101929,-3.5479953,1.4158084,-6.358633,-17.97396,-10.572937,-10.546986,-13.119646,0.05697295,5.5471945,-8.145084,8.293094,6.0861263,2.9611807,-0.4360419,-18.623138,-3.0904927,-0.065273404,0.92971915,-2.0664206,-15.785865,-3.7120423,-7.7284665,-14.244484,-4.9816008,-23.972553,-6.7122755,-11.779461,-9.189266,-3.156543,-7.4518175,-17.23942,-15.917062,-12.682,-11.98187,-12.853566,-20.381699,-21.345104,-15.544416,-16.33145,-26.806639,-20.7579,-17.55095,-21.958702,-34.964607,-16.531992,-11.5345955,-11.770686,-23.81854,-22.808321,-22.568493,-24.338345,-46.755203,-32.001015,-16.620865,-13.4871855,-15.228938,-25.448715,-17.921854,-11.487638,-8.77673,-11.822434,-21.72256,-8.506081,-20.094309,-17.02729,-6.0426974,-3.438413,-22.08099,-9.775595,-8.042484,-5.2446694,-19.901733,-10.8036995,-14.880032,-8.756306,-7.1835275,0.3996587,-1.3383192,-0.612044,-3.1023493,-22.1922,-23.638191,-9.86623,-6.6579027,-7.5814476,-21.376476,-15.01568,-13.207158,-14.020005,-22.146133,-3.9804358,-6.3732963,-17.75316,-11.211635,-15.296553,-27.3427,-43.057625,-33.40103,-20.994915,-15.373635,-14.729078,-17.064417,-17.808098,-22.72018,-24.115822,-19.827274,-30.477448,-23.276445,-29.692684,-27.707216
-1.3396122,4.8011045,3.1517365,0.94624305,-2.3754234,-6.0265822,-9.34367,-13.344671,-19.551523,-18.926945,-17.270529,-11.42226,-10.773762,-16.75615,-11.9844055,-10.379902,-8.142112,-7.8136644,-8.685559,-9.334208,-7.2667,-10.5447,-16.308716,-14.3263035,-17.840921,-15.040632,-19.584705,-22.489538,-16.921383,-12.858008,-14.263851,-12.321213,-14.813314,-13.714201,-12.253099,-14.606299,-22.68851,-43.484005,-34.72419,-22.42241,-21.050804,-18.366018,-20.497244,-17.04266,-20.129631,-25.234222,-23.644712,-19.237864,-19.131207,-14.761296,-8.249031,-7.5052786,-1.6749516,-5.1690426,-11.216862,-12.969667,-1.9436159,0.23771466,-6.760089,-11.554806,-25.540813,-11.609278,-24.328442,-2.0881686,6.9689655,7.8870053,5.0598736,-0.26604834,-2.8405764,-4.807691,-5.1059446,-3.9157562,-7.3076982,-4.2296524,-2.407019,-4.826857,-7.2681513,-10.071444,-8.124028,-4.495011,-6.301339,-10.8528385,-8.856083,-7.7843733,-5.7664776,-10.042494,-32.216694,-22.106592,-16.671627,-18.895329,-16.72306,-17.676199,-21.187956,-20.665714,-19.67107,-22.694248,-21.196566,-20.97297,-26.098755,-23.508991,-19.91165,-16.873552,-13.820792,-17.565405,-25.219831,-30.29208,-26.67982,-26.633133,-23.156738,-18.627605,-18.840094,-19.602264,-21.208393,-17.097965,-18.52332,-12.094617,-12.855173,-16.156454,-6.6569815,-7.3938966,-12.496746,-5.7997932,-1.5824175,-4.4006,-12.356277,-9.967716,-5.899203,-10.157976,-11.641056,-14.172199,-8.801069,-1.595129,4.027076,4.616486,1.4405535,-2.528075,-9.470052,-10.403687,-14.555526,-10.844105,-8.223375,-19.71921,-15.63024,-11.1247425,-8.047987,-5.9443736,-3.9506075,-5.4516907,-11.706267,-16.197813,-18.87405,-23.992798,-34.496788,-30.47364,-26.255924,-18.666481,-19.659283,-24.243595,-24.137781,-20.545588,-19.981672,-21.500494,-19.842796,-19.705542,-22.484444,-27.6544
-4.082342,-3.6231043,-18.947052,-20.68581,-22.195177,-23.960835,-34.111282,-21.803247,-30.315247,-24.331821,-25.4294,-27.66806,-22.81776,-21.456861,-25.119377,-26.051704,-36.009144,-36.87669,-29.45262,-26.16308,-22.001644,-21.084358,-26.774519,-25.381996,-24.396055,-24.353132,-25.823471,-21.723465,-19.566929,-37.874428,-27.16985,-23.055037,-23.804134,-34.61163,-25.820742,-24.5349,-29.200697,-30.15773,-41.449894,-24.70134,-26.629402,-23.587856,-24.36893,-27.085459,-40.685326,-24.374533,-26.034605,-29.483551,-32.19059,-22.62677,-16.894514,-13.178976,-6.844017,-10.759722,-22.42545,-14.275564,-1.8932455,-2.990365,-16.778517,-8.714327,-7.4812403,-8.204946,-15.00463,-2.6053538,6.6590757,6.00259,-6.3539076,-15.414684,-24.382614,-15.478004,-10.554617,-4.9637375,-10.544835,-12.78798,-6.4597445,-13.786579,-14.949145,-19.666523,-18.160374,-7.635146,-6.4776487,-15.373941,-11.304642,-26.836035,-13.368195,-14.44704,-25.35014,-31.874413,-26.934612,-26.960491,-25.133188,-23.604527,-33.05546,-36.399727,-30.245808,-32.545174,-26.520721,-25.590065,-30.764029,-29.288023,-33.21003,-33.643497,-19.877975,-21.321365,-32.393143,-42.00512,-32.975044,-31.19207,-22.350758,-25.687693,-33.297222,-27.466345,-26.426788,-21.484232,-26.158813,-18.000372,-12.743914,-11.083364,-5.0606422,-5.9611425,-16.090845,-8.510055,-4.379618,-3.4723017,-10.222765,-13.768103,-9.254559,-14.79266,-12.858997,-13.712439,-10.671541,-3.764852,2.1240869,3.8403182,-3.9858317,-10.459074,-9.03874,-16.582878,-12.65808,-10.642972,-10.660252,-15.628959,-16.618559,-19.789465,-8.525536,-9.473153,-10.195023,-10.745272,-16.869072,-44.584812,-38.868465,-26.626682,-25.672205,-26.233568,-27.441256,-27.357723,-35.95114,-36.160957,-42.177444,-23.702232,-22.377926,-41.218033,-21.164577,-22.289705,-25.008106,-28.202162
-7.9905868,-8.5776415,-24.032251,-36.900543,-47.1933,-26.589634,-27.377163,-29.746683,-28.950796,-27.752245,-28.224567,-30.66399,-35.355938,-34.988785,-25.844597,-27.284613,-27.402079,-30.69728,-34.108925,-35.419212,-30.426815,-32.251175,-38.971474,-32.252647,-26.574286,-36.94731,-27.890995,-20.694294,-22.703257,-26.81796,-26.699936,-24.508017,-29.716526,-26.936121,-27.814888,-27.572136,-31.77559,-28.144323,-28.465061,-27.1381,-23.215416,-22.337858,-26.550493,-37.23739,-29.769844,-36.293995,-29.652596,-30.106255,-26.200144,-24.178555,-20.291536,-12.414179,-7.4496193,-18.501408,-29.736975,-7.750692,-1.9451742,-8.614451,-10.70158,-8.732767,-7.6310663,-6.832924,-9.181854,-15.389623,3.8225045,2.1937883,-26.621477,-32.22728,-25.74896,-16.800045,-12.073557,-6.515338,-3.1806052,-4.216472,-10.447484,-17.233946,-12.427026,-11.161312,-12.002473,-21.58421,-8.952741,-10.214328,-15.538182,-18.794401,-27.035389,-23.598469,-29.288332,-34.148926,-44.13632,-28.32254,-35.51718,-50.83494,-28.27459,-35.461494,-31.038044,-26.68542,-33.783157,-32.936157,-26.549183,-38.685318,-31.346622,-27.330608,-24.554504,-35.38497,-33.008278,-38.866924,-33.477005,-37.940243,-27.273998,-25.151539,-36.629456,-29.666813,-23.530788,-25.403788,-30.6348,-24.278152,-16.817177,-11.437515,-8.070842,-15.558908,-9.422167,-8.86722,-12.631917,-7.0890064,-20.949976,-23.651539,-15.204853,-14.875871,-11.421871,-10.632536,-16.797417,-12.627069,-11.167117,-0.7235715,-8.578297,-17.002804,-13.378925,-18.670334,-14.657131,-16.497496,-21.862288,-14.909397,-18.98434,-18.335485,-12.402816,-20.847248,-24.468546,-25.90514,-26.433361,-28.472855,-32.019848,-38.62683,-31.282852,-26.851702,-26.37397,-30.18098,-43.070404,-39.483067,-35.58504,-25.239746,-26.367485,-30.6002,-27.165993,-25.942894,-28.818796,-31.081882
-10.832842,-10.237141,-22.0845,-28.091623,-35.18012,-23.650263,-25.331028,-27.585249,-31.842361,-31.596817,-36.3461,-27.922832,-34.787785,-33.904507,-27.701838,-35.61033,-24.16256,-23.70205,-28.338314,-26.663124,-28.799515,-36.214657,-26.82611,-27.20884,-25.451136,-29.904966,-35.76953,-23.07191,-29.425413,-28.227562,-33.128975,-27.102606,-25.807428,-25.256218,-32.37946,-26.897058,-27.705784,-25.70573,-28.947699,-28.167854,-33.451477,-25.737988,-28.387703,-42.463135,-31.559761,-26.266243,-23.208424,-25.242859,-37.518852,-21.586344,-18.35018,-12.263136,-5.567753,-7.4176817,-8.326095,-7.675538,-3.8415124,-7.617647,-10.938112,-12.304464,-13.256494,-10.893007,-20.093222,-9.364273,2.7514358,3.447002,-8.75129,-21.102755,-20.030876,-24.791296,-26.051538,-11.446576,-5.8531847,-5.794969,-18.834188,-24.40015,-13.730626,-8.729979,-10.355725,-13.963362,-13.031093,-24.94684,-20.978252,-28.606997,-26.231781,-25.211222,-28.05136,-29.658491,-30.4652,-25.481686,-28.572681,-29.99589,-25.06382,-27.272488,-26.087229,-28.27724,-40.55975,-34.460342,-25.286245,-26.72437,-25.445786,-30.290874,-24.220177,-23.477919,-26.713852,-28.047031,-25.757494,-31.959225,-27.605772,-28.435934,-42.239304,-25.313335,-28.290604,-27.69225,-21.548014,-23.54182,-17.239304,-16.598185,-10.006098,-7.92535,-10.380186,-11.789341,-6.073881,-7.9740496,-23.52412,-29.557365,-21.375141,-27.949934,-14.193691,-14.795016,-28.46915,-10.379845,-4.0409164,-1.6039528,-8.9991865,-19.192144,-14.214346,-23.549828,-22.72131,-19.51308,-25.687859,-17.395264,-14.197651,-14.380685,-13.537235,-27.155178,-23.68397,-30.58767,-38.467297,-31.423656,-25.568848,-27.418386,-30.18283,-26.71257,-34.076878,-27.878021,-29.532793,-29.895485,-32.119526,-25.203388,-27.204351,-31.961653,-28.952482,-22.236444,-27.884256,-39.6111
-12.387346,-11.5437565,-21.067068,-28.672915,-28.387909,-23.738686,-24.262426,-31.120947,-33.50206,-30.161781,-26.846476,-27.492731,-34.427444,-31.937145,-25.916569,-25.327723,-26.86414,-25.98864,-23.263952,-24.115925,-28.590084,-34.438274,-25.847687,-22.268599,-23.651075,-31.071564,-29.664108,-24.113255,-23.80341,-29.147987,-35.143337,-23.898842,-21.059103,-25.68594,-38.10124,-25.056524,-21.858753,-24.073997,-32.410515,-26.705948,-24.935318,-24.828789,-29.538824,-40.45862,-28.20283,-21.429998,-20.21878,-28.4506,-29.425905,-23.64298,-23.741915,-10.916356,-8.517358,-4.469658,-3.4155397,-10.280805,-4.96429,-9.765273,-12.101173,-10.576816,-16.692488,-12.432848,-11.680935,-25.299025,2.3472805,4.9273725,-4.654086,-28.526897,-21.871653,-20.948675,-17.842009,-17.600761,-20.608803,-9.3674345,-12.312017,-17.295828,-16.869629,-14.503017,-16.551546,-18.152342,-13.314255,-13.212965,-18.367449,-28.011703,-28.138306,-22.855068,-25.109509,-28.147028,-24.006214,-21.722067,-26.131485,-33.130486,-23.677166,-21.920841,-23.045786,-30.080166,-33.059746,-25.991919,-23.548595,-28.313004,-27.26719,-24.239397,-22.473446,-23.545746,-26.422932,-23.579647,-22.794483,-25.30537,-39.900925,-28.879622,-27.151888,-24.857138,-24.899483,-25.892504,-25.882036,-26.970758,-23.39776,-12.8693905,-7.208542,-7.735648,-16.854221,-19.948582,-7.2335362,-7.739664,-17.163874,-22.68198,-27.263943,-23.935055,-16.032442,-16.197817,-20.162241,-11.274868,-2.9994953,-2.7440572,-11.469134,-25.167572,-14.567585,-16.89484,-26.996311,-18.180462,-16.85594,-14.952974,-12.629148,-12.889889,-18.283098,-17.912766,-23.33263,-35.541607,-28.760366,-23.942337,-22.391705,-27.308487,-29.762743,-26.312658,-25.761055,-26.130299,-30.531843,-29.353256,-24.833572,-25.583105,-32.864765,-26.832825,-22.977438,-21.815874,-26.606003,-37.047195
-14.287401,-15.111317,-35.876118,-44.540043,-37.97873,-29.99032,-29.577282,-46.637527,-56.875572,-35.045998,-30.411125,-34.67316,-34.99454,-32.062325,-29.39559,-34.813442,-34.386127,-31.633724,-28.217098,-33.34171,-30.56884,-37.85064,-30.722675,-26.640694,-31.232574,-31.58562,-29.65702,-33.310284,-27.57782,-29.189598,-32.013958,-26.727018,-24.772673,-27.606514,-30.322899,-29.884932,-26.19759,-26.30651,-34.737247,-32.02384,-30.138859,-28.613876,-31.912464,-38.88289,-32.414135,-24.87072,-23.698797,-26.299885,-27.400688,-25.68024,-26.096123,-13.476374,-11.706669,-5.5953255,-5.2277,-8.440067,-4.725006,-11.085236,-10.789341,-9.737739,-16.687021,-21.05181,-15.479618,-8.458187,2.2582464,4.2199416,-3.6834762,-31.447802,-21.739834,-28.860828,-18.891073,-21.112122,-24.022118,-11.449007,-11.163273,-22.159924,-31.19529,-18.125732,-15.757642,-11.454209,-11.516992,-12.184116,-17.993956,-30.24106,-30.507732,-26.581945,-33.64551,-42.77052,-28.91485,-24.387997,-27.219032,-32.566067,-28.512093,-30.51896,-26.939562,-29.713705,-27.991035,-23.124886,-27.625935,-40.70556,-35.457653,-35.633923,-28.407534,-34.401203,-54.528885,-28.554592,-27.92574,-34.795124,-28.000923,-26.216019,-33.318142,-31.651115,-31.407492,-38.79058,-42.564995,-33.786076,-25.943777,-18.721125,-10.584673,-13.228297,-26.405872,-17.7431,-10.76172,-12.246331,-22.358776,-27.950705,-19.724072,-18.906086,-30.013721,-18.93967,-32.5754,-16.061451,-8.655683,-8.803736,-11.838555,-20.162312,-15.338598,-16.73347,-17.49292,-19.319027,-24.383545,-21.913078,-19.697315,-15.695305,-24.194613,-23.425083,-24.40674,-31.454084,-30.796463,-24.357613,-27.191095,-33.98759,-34.989098,-31.216423,-33.512882,-29.500328,-39.00784,-35.240067,-30.018528,-29.577667,-35.1196,-30.324047,-29.839859,-27.737856,-27.80099,-34.27457
-15.809651,-16.123034,-34.631504,-41.41799,-47.936592,-37.706493,-37.78889,-40.94706,-55.03586,-37.998528,-34.493805,-41.112293,-56.875572,-31.323032,-39.5839,-39.741932,-34.03987,-28.237537,-33.791893,-36.25361,-30.950447,-35.86988,-32.978806,-32.625027,-40.323967,-37.712955,-30.59004,-29.788685,-28.575594,-36.15794,-34.94023,-46.85026,-34.455334,-45.6374,-33.719017,-42.328445,-34.14921,-31.26289,-38.3781,-41.82985,-42.43093,-36.23046,-43.99163,-43.819084,-45.79224,-33.71411,-36.908432,-33.390736,-41.952896,-31.096228,-20.043133,-6.86815,-2.6529777,-7.953452,-7.4824457,-9.475534,-6.243326,-11.6859455,-9.129684,-5.857389,-12.662924,-24.75024,-26.219986,-19.57975,-1.5509826,0.72198915,-6.729761,-24.263569,-23.224724,-22.056862,-17.275074,-16.777613,-23.015457,-13.395918,-11.738225,-22.434252,-25.89088,-17.422512,-13.478645,-15.50376,-22.8418,-17.066862,-21.509678,-47.402695,-37.410454,-33.67643,-33.81081,-43.707634,-36.40141,-35.038788,-31.608574,-46.59647,-35.981937,-34.879734,-33.3201,-45.415234,-33.753876,-25.95794,-28.47955,-36.8137,-35.223534,-40.64994,-36.54856,-34.776413,-33.94679,-36.446346,-47.383743,-35.04196,-25.945786,-24.819244,-34.24287,-53.8395,-42.165634,-44.44311,-37.120674,-22.93082,-18.05288,-18.48862,-12.233511,-12.428151,-23.829636,-22.474785,-16.713058,-16.97313,-30.071478,-19.079994,-14.30297,-20.461607,-20.648272,-19.437468,-24.384708,-15.754002,-15.265808,-16.217081,-12.160773,-21.2105,-18.346375,-36.393085,-21.849527,-20.121685,-19.51706,-20.371727,-26.020454,-17.655224,-17.924543,-27.079134,-27.418133,-30.33506,-32.476376,-30.693104,-38.332382,-52.329132,-33.98311,-32.733,-32.119095,-32.563805,-43.7293,-35.718468,-39.16145,-33.772587,-47.240406,-37.670586,-47.75741,-41.428734,-39.501347,-37.940487
-16.721489,-16.56577,-27.850458,-33.76371,-35.030823,-41.95885,-45.88022,-40.77656,-41.901962,-49.994923,-34.859924,-33.40606,-32.365414,-30.578457,-34.60796,-38.59321,-35.59786,-30.202133,-36.247124,-39.11328,-34.935852,-33.77998,-41.57744,-33.36175,-39.80413,-43.956608,-37.250916,-31.859653,-30.505228,-31.792503,-34.242386,-40.025948,-42.63235,-40.99402,-36.63501,-39.223713,-31.524076,-36.87837,-40.121277,-46.98455,-36.51553,-35.55967,-37.78515,-36.463432,-37.961308,-35.390392,-39.90363,-38.422832,-32.74046,-32.186924,-19.635746,-2.408063,3.4993715,0.2880032,-3.5440814,-10.922122,-11.275267,-16.194437,-7.5751724,-5.527603,-12.559599,-12.225055,-17.103535,-14.689402,-2.266258,-6.132986,-12.093218,-26.15427,-27.97737,-20.193352,-33.3616,-15.500624,-15.092946,-14.097912,-11.115413,-12.989373,-21.42899,-18.349474,-17.292246,-24.512539,-16.260353,-16.867525,-25.976776,-35.117916,-36.458412,-35.678856,-43.331547,-36.892612,-36.610508,-35.76923,-49.976925,-37.06499,-37.40273,-40.676018,-30.906286,-39.378906,-36.25399,-32.886127,-32.680355,-33.9411,-37.246353,-38.394684,-33.597782,-31.554525,-36.7258,-41.443283,-51.997353,-36.37778,-25.51725,-25.81666,-35.640457,-41.34996,-43.82546,-43.021667,-32.1936,-21.54004,-12.589134,-9.518063,-17.550589,-16.038458,-10.877729,-19.011036,-12.24958,-14.990675,-31.877434,-17.273983,-12.212713,-14.581218,-13.749149,-17.377106,-20.41122,-18.456242,-19.75752,-8.996054,-11.955381,-22.661797,-23.291286,-35.337914,-26.088602,-27.02698,-22.13079,-18.614614,-24.102474,-21.195621,-22.500092,-26.085682,-29.91946,-34.94797,-45.087723,-39.790047,-41.682316,-43.369583,-39.95302,-35.85214,-43.335056,-33.276604,-33.599537,-41.789265,-33.195366,-34.17401,-43.546738,-41.88568,-44.880913,-41.325684,-39.345604,-40.750484
-17.591879,-18.159887,-45.727047,-37.618877,-35.648464,-38.585915,-56.875572,-50.636726,-41.469837,-35.63843,-32.828995,-47.76541,-30.56721,-34.726536,-40.112823,-46.889,-40.398613,-32.678364,-33.735504,-43.220192,-41.80301,-34.248245,-33.405704,-36.81341,-48.467438,-39.865276,-43.632565,-39.40103,-37.92607,-40.51542,-31.112175,-37.51425,-42.00003,-42.5691,-33.46036,-28.56015,-28.643896,-32.359756,-34.998497,-36.1128,-33.96582,-50.493843,-36.823296,-38.64835,-33.78939,-37.422707,-49.21923,-42.01104,-30.993065,-28.086756,-18.549252,-1.9286532,7.6134596,6.1078033,-6.050539,-11.00732,-23.863834,-13.431083,-4.038508,-10.205087,-6.552038,-2.7249079,-4.0956693,-15.417737,1.329498,-0.19802982,-6.1956167,-26.572704,-18.26216,-22.406675,-31.461782,-18.658676,-11.885071,-14.446792,-11.813083,-10.326349,-23.87531,-20.900402,-20.99901,-20.618984,-14.322082,-17.914549,-26.166332,-32.06213,-41.409042,-36.4154,-37.08535,-44.94336,-35.92389,-35.405266,-36.505142,-48.416576,-34.8031,-30.686657,-29.395813,-30.567665,-39.692894,-35.892673,-44.234863,-42.582924,-51.304478,-39.527565,-30.96841,-32.68661,-45.991154,-39.196682,-43.99839,-45.63499,-28.446081,-28.754347,-46.92141,-39.55692,-50.649776,-40.349976,-36.07086,-16.71603,-3.7104585,-10.302009,-9.705383,-1.8429519,-14.176495,-14.246334,-11.647131,-7.008304,-18.087921,-14.919346,-5.201635,-17.043875,-8.9627285,-7.828843,-17.621227,-18.028372,-10.884331,-6.9084063,-13.203317,-19.512072,-18.155596,-32.409836,-27.595127,-23.723928,-20.337591,-20.373798,-25.285566,-32.47623,-31.791988,-38.521614,-36.575363,-37.638504,-38.776573,-41.797337,-40.27031,-51.34106,-45.170788,-40.305138,-38.85032,-36.453564,-33.590054,-38.61325,-35.798183,-34.339943,-37.270855,-37.2554,-48.782143,-37.4187,-36.603287,-39.107635
